Category,def
computer science education,machine performing calculations automatically expert calculation or operating calculating machines particular branch scientific knowledge ability produce solutions problem domain activities educating instructing activities impart knowledge skill knowledge acquired learning instruction gradual process acquiring knowledge profession teaching especially school college university result good upbringing especially knowledge correct social behavior United States federal department administers federal programs dealing education including federal aid educational institutions students
evidence based reasoning,basis belief disbelief knowledge base belief indication makes something evident provide evidence for stand proof of show ones behavior attitude external attributes provide evidence give evidence use basis for found situate center operations use purified cocaine base base operations often used combining form thinking coherent logical decide reasoning draw come conclusion present reasons arguments think logically endowed capacity reason
rapid prototyping,part river current fast done occurring brief period time characterized speed moving capable moving high speed
personalized learning,make personal personal made directed adjusted particular individual pointedly referring concerning persons individual personality intimate affairs especially offensively cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort
decision optimization,act making mind something position opinion judgment reached consideration boxing outcome game contest trait resoluteness evidenced firmness character purpose act rendering optimal
constraints databases,state physically constrained device retards somethings motion act constraining threat use force control thoughts behavior others organized body related information
decision support,act making mind something position opinion judgment reached consideration boxing outcome game contest trait resoluteness evidenced firmness character purpose activity providing maintaining supplying money necessities aiding cause policy interests something providing immaterial assistance person cause interest military operation often involving new supplies men materiel documentary validation financial means whereby one lives supporting structure holds provides foundation act bearing weight strengthening musical part vocal instrumental device bears weight another thing financial resources provided make project possible give moral psychological support aid courage support materially financially behind approve physical support of carry weight establish strengthen new evidence facts adopt belief support evidence authority make certain confirm argue speak defense play subordinate role another performer regular customer client put something somebody unpleasant
decision guidance,act making mind something position opinion judgment reached consideration boxing outcome game contest trait resoluteness evidenced firmness character purpose something provides direction advice decision course action act guiding showing way act setting holding course
computer science,machine performing calculations automatically expert calculation or operating calculating machines particular branch scientific knowledge ability produce solutions problem domain
blood flow,fluid red vertebrates temperament disposition dissolute man fashionable society descendants one individual people viewed members group smear blood hunting initiation rite face person smeared blood kill motion characteristic fluids liquids gases amount fluid flows given time act flowing streaming continuous progression uninterrupted stream discharge something resembles flowing stream moving continuously dominant course suggestive running water monthly discharge blood uterus nonpregnant women puberty menopause move progress freely stream move along liquids cause flow abundantly present fall flow certain way cover swamp water undergo menstruation
biomechanics,
aneurysms,cardiovascular disease characterized saclike widening artery resulting weakening artery wall
computer games technology,machine performing calculations automatically expert calculation or operating calculating machines contest rules determine winner single play sport contest amusement pastime animal hunted food sport tennis games flesh wild animals used food secret scheme something especially something underhand illegal game equipment needed order play particular game occupation line work frivolous trifling behavior place bet application knowledge usage tools such machines utensils discipline dealing art science applying scientific knowledge practical problems machinery equipment developed engineering applied sciences
medical imaging,thorough physical examination includes variety tests depending age sex health person relating study practice medicine requiring amenable treatment medicine especially opposed surgery belonging Aesculapius healing art ability form mental images things events medicine render visible means MRI imagine conceive of see ones mind
graphics,image generated computer photographs visual representations printed publication drawings photographs layout book
mobile computing,river southwestern Alabama flows Mobile Bay port southwestern Alabama Mobile Bay sculpture suspended midair whose delicately balanced parts set motion air currents migratory moving capable moving readily especially place place transportation available capable changing quickly one state condition another affording change especially social status branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
computer networks,machine performing calculations automatically expert calculation or operating calculating machines interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group
computer network security,machine performing calculations automatically expert calculation or operating calculating machines interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
networking,communicate within group
distributed system,administer bestow small portions distribute disperse widely make available give several people cause distributed cause become widely known spread throughout given area distributed spread statistical analyses mathematically distributive arrange systematic order spread scattered divided instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
distributed computing,administer bestow small portions distribute disperse widely make available give several people cause distributed cause become widely known spread throughout given area distributed spread statistical analyses mathematically distributive arrange systematic order spread scattered divided branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
display interaction,something intended communicate particular impression something shown public visual representation something behavior makes feelings public exhibiting openly public view electronic device represents information visual form show make visible apparent attract attention displaying body part posing animals mutual reciprocal action interacting physics
mobile system,river southwestern Alabama flows Mobile Bay port southwestern Alabama Mobile Bay sculpture suspended midair whose delicately balanced parts set motion air currents migratory moving capable moving readily especially place place transportation available capable changing quickly one state condition another affording change especially social status instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
large scale computing,garment size large person average size number quantity magnitude extent large fairly large important effect influential ostentatiously lofty style generous understanding tolerant conspicuous position importance broad power range scope advanced stage pregnancy distance wide something as mark wind abaft beam boastful manner ordered reference standard relative magnitude ratio size something representation specialized leaf bract protects bud catkin thin flake dead epidermis shed surface skin music usually within octave measuring instrument weighing shows amount mass indicator graduated sequence marks metal sheathing uniform thickness such shield attached artillery piece protect gunners flattened rigid plate forming part body covering many animals measure scale pattern make regulate set measure estimate according rate standard take attacking scaling ladders reach highest point climb means ladder remove scales measure scales size measure according scale branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
deep learning,central intense profound part long steepsided depression ocean floor literary term ocean relatively deep strong affecting one deeply marked depth thinking great spatial extension penetration downward inward outer surface backward laterally outward center sometimes used combination distant time space intense extreme denoting low vocal instrumental range strong intense relatively thick top bottom extending relatively far inward of darkness large quantity size head back bent low obscure nature difficult penetrate incomprehensible one ordinary understanding knowledge exhibiting great cunning usually secrecy great depth far advanced time great distance cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort
diagnostic therapeutic applications ,concerned diagnosis used furthering diagnosis characteristic indicative disease medicine therapy cures disease relieve pain tending cure restore health relating involved therapy act bringing something bear using particular purpose verbal written request assistance employment admission school work applying something program gives computer instructions provide user tools accomplish task liquid preparation soothing antiseptic medicinal action applied skin diligent effort action putting something operation
memory,something remembered cognitive processes whereby past experience remembered power retaining recalling past experience electronic memory device area cognitive psychology studies memory processes
neuroscience,scientific study nervous system
theta rhythm,8th letter Greek alphabet basic rhythmic unit piece music recurring regular intervals interval recurring sequence events occurs arrangement spoken words alternating stressed unstressed elements natural family planning ovulation assumed occur 14 days onset period the fertile period would assumed extend day 10 day 18 cycle
navigation,guidance ships airplanes place place ship traffic work sailor
computational social science,involving computation computers party people assembled promote sociability communal activity relating human society members living together enjoying life communities organized groups relating belonging characteristic high society composed sociable people formed purpose sociability tending move live together groups colonies kind marked friendly companionship others particular branch scientific knowledge ability produce solutions problem domain
matching,compatible similar consistent coincide characteristics provide funds complementary bring two objects ideas people together equal quality ability make correspond harmonize give join marriage set opposition rivalry equal harmonize make equal uniform corresponding matching two identical intentionally matched
algorithmic game theory,relating characteristics algorithm contest rules determine winner single play sport contest amusement pastime animal hunted food sport tennis games flesh wild animals used food secret scheme something especially something underhand illegal game equipment needed order play particular game occupation line work frivolous trifling behavior place bet disabled feet legs willing face danger wellsubstantiated explanation aspect natural world organized system accepted knowledge applies variety circumstances explain specific set phenomena tentative insight natural world concept yet verified true would explain certain facts phenomena belief guide behavior
clustering,grouping number similar things come together cluster flock gather cause gather cluster
classification,act distributing things classes categories type group people things arranged class category basic cognitive process arranging classes categories restriction imposed government documents weapons available certain authorized people
data mining,collection facts conclusions may drawn item factual information derived measurement research act extracting ores coal etc earth laying explosive mines concealed places destroy enemy personnel equipment get earth excavation lay mines
ensemble methods,group musicians playing singing together cast principals chorus ballet company assemblage parts details as work art coordinated outfit set clothing way something especially systematic way implies orderly logical arrangement usually steps acting technique introduced Stanislavsky actor recalls emotions reactions life uses identify character portrayed
learning engineering,cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
data science,collection facts conclusions may drawn item factual information derived measurement research particular branch scientific knowledge ability produce solutions problem domain
serious games,concerned work important matters rather play trivialities great consequence causing fear anxiety threatening great harm appealing mind completely lacking playfulness requiring effort concentration complex easy answer solve contest rules determine winner single play sport contest amusement pastime animal hunted food sport tennis games flesh wild animals used food secret scheme something especially something underhand illegal game equipment needed order play particular game occupation line work frivolous trifling behavior place bet
healthcare,preservation mental physical health preventing treating illness services offered health profession
operations research,state effect operative business especially one run large scale planned activity involving many people performing various actions computer science especially processing results single instruction activity military naval force as maneuver campaign medical procedure involving incision instruments performed repair damage arrest disease living body process series acts especially practical mechanical nature involved particular form work process manner functioning operating psychology mathematics activity operating something a machine business etc financial transactions brokerage execution trades keeping customer records systematic investigation establish facts search knowledge attempt find systematically scientific manner inquire
operating systems,direct control projects businesses etc perform expected applied handle cause function perform movement military naval tactics order secure advantage attack defense keep engaged perform surgery involved kind operation effect operation instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
analogies,inference things agree respects probably agree others drawing comparison order show similarity respect religious belief creature creator similarity found great dissimilarity always greater analogy God humans always inadequate
water quality engineering,binary compound occurs room temperature clear colorless odorless tasteless liquid freezes ice 0 degrees centigrade boils 100 degrees centigrade widely used solvent part earths surface covered water such river lake ocean thought one four elements composing universe Empedocles facility provides source water liquid excretory product liquid necessary life animals plants supply water channels ditches streams provide water secrete form water tears saliva fill tears essential distinguishing attribute something someone degree grade excellence worth characteristic property defines apparent individual nature something music voice noise musical sound high social status superior grade high social status practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
drinking water,act consuming liquids act drinking alcoholic beverages excess take liquids consume alcohol propose toast fascinated spellbound by pay close attention drink excessive amounts alcohol alcoholic binary compound occurs room temperature clear colorless odorless tasteless liquid freezes ice 0 degrees centigrade boils 100 degrees centigrade widely used solvent part earths surface covered water such river lake ocean thought one four elements composing universe Empedocles facility provides source water liquid excretory product liquid necessary life animals plants supply water channels ditches streams provide water secrete form water tears saliva fill tears
wastewater reuse,water mixed waste matter use processing
wash,thin coat waterbase paint work cleansing usually soap water dry bed intermittent stream as bottom canyon erosive process washing away soil gravel water as roadway flow air driven backwards aircraft propeller watercolor made applying series monochrome washes one garments white goods cleaned laundering enterprise losses gains cancel clean chemical process cleanse ones body cleanse cleaning agent soap water move water capable washed admit testing proof separate dirt gravel precious minerals apply thin coating paint metal etc remove application water liquid soap cleaning agent form erosion make moist wash flow cleanse itself another animal
disinfection byproducts,treatment destroy harmful microorganisms secondary sometimes unexpected consequence product made manufacture something else
probabilistic modeling,relating Roman Catholic philosophy probabilism relating based probability sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
air transportation,mixture gases especially oxygen region ground distinctive intangible quality surrounding person thing slight wind usually refreshing mass air surrounding Earth thought one four elements composing universe Empedocles succession notes forming distinctive sequence medium radio television broadcasting travel via aircraft expose fresh air broadcast broadcast airwaves radio television make public expose warm heated air dry expose cool cold air cool freshen facility consisting means equipment necessary movement passengers goods act moving something one location another sum charged riding public conveyance United States federal department institutes coordinates national transportation programs created 1966 commercial enterprise moving goods materials act expelling person native land
optimization,act rendering optimal
stochastic processes,random variable particular course action intended achieve result psychology writ issued authority law usually compels defendants attendance civil suit failure appear results default judgment defendant mental process directly aware natural prolongation projection part organism either animal plant sustained phenomenon one marked gradual changes series states subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone
decision support systems,act making mind something position opinion judgment reached consideration boxing outcome game contest trait resoluteness evidenced firmness character purpose activity providing maintaining supplying money necessities aiding cause policy interests something providing immaterial assistance person cause interest military operation often involving new supplies men materiel documentary validation financial means whereby one lives supporting structure holds provides foundation act bearing weight strengthening musical part vocal instrumental device bears weight another thing financial resources provided make project possible give moral psychological support aid courage support materially financially behind approve physical support of carry weight establish strengthen new evidence facts adopt belief support evidence authority make certain confirm argue speak defense play subordinate role another performer regular customer client put something somebody unpleasant instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
ubiquitous computing,present everywhere branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
wearable computing,covering designed worn persons body suitable wear able worn branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
human computer interaction,living extinct member family Hominidae characterized superior intelligence articulate speech erect carriage characteristic humanity relating person human form attributes opposed animals divine beings machine performing calculations automatically expert calculation or operating calculating machines mutual reciprocal action interacting physics
healthcare,preservation mental physical health preventing treating illness services offered health profession
creative tools,ability power create promoting construction creation implement used practice vocation means whereby act accomplished person controlled others used perform unpleasant dishonest tasks someone else obscene terms penis ride car particular goal pleasure furnish tools work tool
google,widely used search engine uses textmatching techniques find web pages important relevant users search search internet for information
google faculty research award,widely used search engine uses textmatching techniques find web pages important relevant users search search internet for information one inherent cognitive perceptual powers mind body teachers administrators school systematic investigation establish facts search knowledge attempt find systematically scientific manner inquire grant made law court tangible symbol signifying approval distinction something given victory superiority contest competition winning lottery give especially honor reward give judged due basis merit
geometric modeling,characterized simple geometric forms design decoration relating determined geometry sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
honors awards,tangible symbol signifying approval distinction state honored quality honorable good name womans virtue chastity bestow honor rewards upon show respect towards accept pay grant made law court tangible symbol signifying approval distinction something given victory superiority contest competition winning lottery give especially honor reward give judged due basis merit
crowdsourcing,
color,visual attribute things results light emit transmit reflect interest variety intensity timbre musical sound outward token appearance form deliberately misleading material used color physics appearance objects or light sources brightness add color affect thought feeling modify bias decorate colors give deceptive explanation excuse change color often undesired manner capable producing colors
networked systems,communicate within group instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
wireless networking,medium communication transmission radio waves electronic receiver detects demodulates amplifies transmitted signals communication system based broadcasting electromagnetic waves wires communicate within group
viscoelastic fluids,viscous well elastic properties substance fluid room temperature pressure continuous amorphous matter tends flow conform outline container liquid gas
turbulence,unstable flow liquid gas instability atmosphere state violent disturbance disorder as politics social conditions generally
fluid mechanics,substance fluid room temperature pressure continuous amorphous matter tends flow conform outline container liquid gas subject change variable characteristic fluid capable flowing easily changing shape smooth unconstrained movement cash easily convertible cash fluid affording change especially social status craftsman skilled operating machine tools someone whose occupation repairing maintaining automobiles branch physics concerned motion bodies frame reference technical aspects something
air sea gas transport,mixture gases especially oxygen region ground distinctive intangible quality surrounding person thing slight wind usually refreshing mass air surrounding Earth thought one four elements composing universe Empedocles succession notes forming distinctive sequence medium radio television broadcasting travel via aircraft expose fresh air broadcast broadcast airwaves radio television make public expose warm heated air dry expose cool cold air cool freshen division ocean large body salt water partially enclosed land anything apparently limitless quantity volume turbulent water swells considerable size state matter distinguished solid liquid states by relatively low density viscosity relatively great expansion contraction changes pressure temperature ability diffuse readily spontaneous tendency become distributed uniformly throughout container fluid gaseous state neither independent shape volume able expand indefinitely volatile flammable mixture hydrocarbons hexane heptane octane etc state excessive gas alimentary canal pedal controls throttle valve fossil fuel gaseous state used cooking heating homes attack gas subject gas fumes show something serves means transportation exchange molecules and kinetic energy momentum commercial enterprise moving goods materials state carried away overwhelming emotion mechanism transports magnetic tape across read write heads tape playback recorder act moving something one location another move something somebody around usually long distances move supporting either vehicle ones hands ones body hold spellbound transport commercially send one person place another
cyber policy,plan action adopted individual social group line argument rationalizing course action government written contract certificate insurance
information technology,message received understood knowledge acquired study experience instruction formal accusation crime collection facts conclusions may drawn communication theory application knowledge usage tools such machines utensils discipline dealing art science applying scientific knowledge practical problems machinery equipment developed engineering applied sciences
urban computing,relating concerned city densely populated area located characteristic city city life branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
intelligent transportation,capacity thought reason especially high degree possessing sound knowledge exercising showing good judgment endowed capacity reason facility consisting means equipment necessary movement passengers goods act moving something one location another sum charged riding public conveyance United States federal department institutes coordinates national transportation programs created 1966 commercial enterprise moving goods materials act expelling person native land
spatial temporal data,pertaining involving nature space semantic role noun phrase designates time state action denoted verb eternal relating limited time relating temples the sides skull behind orbit characteristic devoted temporal world opposed spiritual world earth world collection facts conclusions may drawn item factual information derived measurement research
online social media,regular route railroad bus airline system connected computer network accessible computer progress party people assembled promote sociability communal activity relating human society members living together enjoying life communities organized groups relating belonging characteristic high society composed sociable people formed purpose sociability tending move live together groups colonies kind marked friendly companionship others means instrumentality storing communicating information surrounding environment intervening substance signals travel means communication bacteriology solid liquid liquid pigment mixed painter biology intervening substance something achieved state intermediate extremes middle position someone serves intermediary living dead usually plural occupation especially well suited
high dimensional search,lofty level position degree air mass higher normal pressure state sustained elation state altered consciousness induced alcohol narcotics high place public secondary school usually including grades 9 12 forward gear gear ratio gives greatest vehicle velocity given engine speed greater normal degree intensity amount literal meaning sometimes used combinations like kneehigh standing others quality position used sounds voices high pitch frequency happy excited energetic used smell meat slightly pleasantly intoxicated alcohol drug especially marijuana great altitude high position amount degree rich manner far toward source relating dimensions dimensionthe quality character stature proper person activity looking thoroughly order find something someone investigation seeking answers operation determines whether one set items specified property examination alternative hypotheses boarding inspecting ship high seas try locate discover try establish existence search seek inquire subject search
computer science computational biology,machine performing calculations automatically expert calculation or operating calculating machines particular branch scientific knowledge ability produce solutions problem domain involving computation computers science studies living organisms characteristic life processes phenomena living organisms plant animal life particular region
reversible computing,garment especially coat either side cloth showing capable reversing reversed capable reversed used either side capable reversed capable assuming producing either two states branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
signal,nonverbal action gesture encodes message incitement action electric quantity voltage current field strength communicate silently nonverbally signals signs signal symptom notably ordinary
machine learning,mechanical electrical device transmits modifies energy perform assist performance human tasks efficient person intricate organization accomplishes goals efficiently device overcoming resistance one point applying force point group controls activities political party motor vehicle four wheels usually propelled internal combustion engine turn shape mold otherwise finish machinery make machinery cognitive process acquiring skill knowledge profound scholarly knowledge gain knowledge skills get know become aware of usually accidentally commit memory learn heart student certain subject impart skills knowledge find out learn determine certainty usually making inquiry effort
video processing,visible part television transmission recording visual audible components especially one containing recording movie television program computer science broadcasting visual images stationary moving objects preparing putting prescribed procedure subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone
image,iconic mental representation Jungian psychology visual representation of object scene person abstraction standard typical example language used figurative nonliteral sense someone closely resembles famous person especially actor mathematics general impression something a person organization product representation person especially form sculpture render visible means MRI imagine conceive of see ones mind
decision theory,act making mind something position opinion judgment reached consideration boxing outcome game contest trait resoluteness evidenced firmness character purpose wellsubstantiated explanation aspect natural world organized system accepted knowledge applies variety circumstances explain specific set phenomena tentative insight natural world concept yet verified true would explain certain facts phenomena belief guide behavior
air pollution modeling policy analysis,mixture gases especially oxygen region ground distinctive intangible quality surrounding person thing slight wind usually refreshing mass air surrounding Earth thought one four elements composing universe Empedocles succession notes forming distinctive sequence medium radio television broadcasting travel via aircraft expose fresh air broadcast broadcast airwaves radio television make public expose warm heated air dry expose cool cold air cool freshen undesirable state natural environment contaminated harmful substances consequence human activities state polluted act contaminating polluting including either intentionally accidentally sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model plan action adopted individual social group line argument rationalizing course action government written contract certificate insurance investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud
tissue engineering,part organism consisting aggregate cells similar structure function soft thin usually translucent create piece cloth interlacing strands fabric wool cotton practical application technical scientific knowledge commerce industry discipline dealing art science applying scientific knowledge practical problems room as ship design engineer plan direct a complex undertaking
blood coagulation,fluid red vertebrates temperament disposition dissolute man fashionable society descendants one individual people viewed members group smear blood hunting initiation rite face person smeared blood kill process forming semisolid lumps liquid
articular cartilage,relating affecting joints body tough elastic tissue mostly converted bone adults
biomaterials,
bone,rigid connective tissue makes skeleton vertebrates porous calcified substance bones made shade white color bleached bones study intensively exam remove bones consisting made bone
military operations research,military forces nation relating study principles warfare characteristic associated soldiers military associated performed members armed services contrasted civilians state effect operative business especially one run large scale planned activity involving many people performing various actions computer science especially processing results single instruction activity military naval force as maneuver campaign medical procedure involving incision instruments performed repair damage arrest disease living body process series acts especially practical mechanical nature involved particular form work process manner functioning operating psychology mathematics activity operating something a machine business etc financial transactions brokerage execution trades keeping customer records systematic investigation establish facts search knowledge attempt find systematically scientific manner inquire
auction design testing,variety bridge tricks made excess contract scored toward game generally superseded contract bridge public sale something highest bidder sell auction act working form something as making sketch outline plan arrangement scheme something intended guide making something else decorative artistic work anticipated outcome intended guides planned actions preliminary sketch indicating plan something creation something mind make work plan for devise plan something specific role purpose effect create design for create execute artistic highly skilled manner make design of plan systematic often graphic form create designs conceive fashion mind invent intend purpose act subjecting experimental test order determine well something works examination characteristics something act giving students candidates test as questions put test quality give experimental use test examine presence disease infection examine someones knowledge something show certain characteristic tested achieve certain score rating test determine presence properties a substance undergo test
computational statistics,involving computation computers datum represented numerically branch applied mathematics concerned collection interpretation quantitative data use probability theory estimate population parameters
distance education,property created space two objects points distant region size gap two places indifference personal withdrawal interval two times remote point time keep distance go far ahead activities educating instructing activities impart knowledge skill knowledge acquired learning instruction gradual process acquiring knowledge profession teaching especially school college university result good upbringing especially knowledge correct social behavior United States federal department administers federal programs dealing education including federal aid educational institutions students
resource allocation,available source wealth new reserve supply drawn upon needed source aid support may drawn upon needed ability deal resourcefully unusual problems share set aside specific purpose act distributing allotting apportioning distribution according plan computer science
computing networking theory,branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation communicate within group wellsubstantiated explanation aspect natural world organized system accepted knowledge applies variety circumstances explain specific set phenomena tentative insight natural world concept yet verified true would explain certain facts phenomena belief guide behavior
cognitive networks,relating involving cognition interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group
wireless communications  networks,medium communication transmission radio waves electronic receiver detects demodulates amplifies transmitted signals communication system based broadcasting electromagnetic waves wires activity communicating activity conveying information something communicated people groups connection allowing access persons places discipline studies principles transmiting information methods delivered as print radio television etc interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group
distributionally robust optimization,sturdy strong form constitution construction marked richness fullness flavor strong enough withstand overcome intellectual challenges adversity rough crude act rendering optimal
chance constrained programming,possibility due favorable combination circumstances unknown unpredictable phenomenon causes event result one way rather another risk involving danger measure likely event occur number expressing ratio favorable cases whole number cases possible possibility future success case chance take risk hope favorable outcome come upon accident meet occurring appearing singled chance compel behave certain way close within bounds otherwise limit deprive free movement severely restrict scope extent lacking spontaneity natural setting order time planned events creating sequence instructions enable computer something arrange program write computer program write computer program arrange program
relief op,feeling comes something burdensome removed reduced condition comfortable relieved especially relieved distress someone takes place another as things get dangerous difficult assistance time difficulty pause relaxation change better aid aged indigent handicapped act reducing something unpleasant as pain annoyance sculpture consisting shapes carved surface stand surrounding background act freeing city town besieged
